iter	Passed	Remaining
412	3379	4804
413	3386	4793
414	3395	4786
415	3402	4776
416	3409	4767
417	3417	4758
418	3423	4747
419	3431	4739
420	3438	4728
421	3446	4720
422	3454	4711
423	3462	4703
424	3469	4693
425	3478	4686
426	3485	4677
427	3492	4667
428	3499	4658
429	3510	4653
430	3516	4643
431	3525	4635
432	3532	4625
433	3539	4616
434	3546	4606
435	3555	4599
436	3564	4592
437	3574	4586
438	3582	4577
439	3590	4570
440	3599	4562
441	3609	4556
442	3615	4546
443	3623	4536
444	3629	4527
445	3635	4516
446	3643	4507
447	3649	4496
448	3661	4493
449	3668	4483
450	3679	4478
451	3688	4471
452	3695	4462
453	3703	4453
454	3710	4444
455	3717	4434
456	3724	4425
457	3731	4415
458	3739	4407
459	3746	4397
460	3753	4388
461	3761	4379
462	3771	4373
463	3778	4365
464	3787	4357
465	3793	4347
466	3800	4337
467	3808	4328
468	3815	4320
469	3824	4312
470	3830	4302
471	3837	4292
472	3845	4284
473	3851	4274
474	3857	4263
475	3863	4253
476	3872	4246
477	3880	4237
478	3889	4229
479	3896	4221
480	3904	4213
481	3911	4203
482	3920	4195
483	3926	4186
484	3935	4179
485	3943	4170
486	3951	4162
487	3958	4153
488	3967	4146
489	3975	4137
490	3984	4131
491	3991	4121
492	4000	4114
493	4006	4104
494	4012	4093
495	4020	4085
496	4026	4075
497	4034	4066
498	4041	4058
499	4048	4048
500	4054	4038
501	4061	4028
502	4069	4021
503	4078	4013
504	4087	4006
505	4096	3999
506	4103	3990
507	4110	3981
508	4117	3971
509	4123	3961
510	4133	3955
511	4139	3945
512	4147	3937
513	4154	3928
514	4162	3920
515	4169	3911
516	4179	3904
517	4188	3897
518	4197	3890
519	4204	3880
520	4210	3871
521	4217	3862
522	4224	3852
523	4231	3843
524	4237	3834
525	4244	3824
526	4250	3815
527	4256	3805
528	4265	3797
529	4272	3788
530	4281	3781
531	4291	3775
532	4297	3765
533	4304	3755
534	4312	3748
535	4319	3739
536	4328	3732
537	4335	3722
538	4342	3714
539	4350	3706
540	4359	3699
541	4367	3690
542	4376	3683
543	4384	3675
544	4394	3668
545	4402	3660
546	4411	3653
547	4417	3643
548	4423	3634
549	4432	3626
550	4439	3617
551	4452	3613
552	4461	3606
553	4468	3597
554	4476	3589
555	4482	3579
556	4492	3573
557	4499	3564
558	4508	3556
559	4514	3547
560	4522	3538
561	4528	3529
562	4534	3519
563	4544	3512
564	4551	3504
565	4557	3494
566	4565	3486
567	4573	3478
568	4579	3468
569	4587	3460
570	4594	3452
571	4603	3444
572	4611	3436
573	4620	3429
574	4627	3420
575	4634	3411
576	4642	3403
577	4648	3394
578	4657	3386
579	4664	3377
580	4673	3370
581	4682	3363
582	4692	3356
583	4702	3349
584	4714	3344
585	4722	3336
586	4728	3327
587	4736	3318
588	4743	3310
589	4752	3302
590	4759	3293
591	4768	3286
592	4774	3277
593	4781	3268
594	4789	3260
595	4798	3252
596	4806	3244
597	4813	3235
598	4819	3226
599	4826	3217
600	4835	3210
601	4842	3201
602	4851	3194
603	4858	3185
604	4864	3176
605	4872	3167
606	4880	3159
607	4888	3151
608	4895	3142
609	4903	3135
610	4910	3126
611	4919	3118
612	4926	3110
613	4935	3102
614	4942	3094
615	4949	3085
616	4957	3077
617	4965	3069
618	4972	3060
619	4981	3052
620	4987	3043
621	4993	3034
622	5001	3026
623	5011	3019
624	5018	3010
625	5025	3002
626	5033	2994
627	5039	2985
628	5049	2978
629	5055	2969
630	5064	2961
631	5070	2952
632	5080	2945
633	5088	2937
634	5097	2929
635	5104	2921
636	5115	2914
637	5121	2906
638	5130	2898
639	5137	2889
640	5145	2881
641	5153	2873
642	5161	2865
643	5168	2857
644	5176	2848
645	5183	2840
646	5189	2831
647	5198	2824
648	5208	2816
649	5215	2808
650	5222	2799
651	5230	2791
652	5237	2783
653	5245	2775
654	5252	2766
655	5262	2759
656	5268	2750
657	5277	2743
658	5285	2734
659	5293	2726
660	5300	2718
661	5309	2710
662	5316	2702
663	5323	2693
664	5331	2685
665	5340	2678
666	5347	2669
667	5356	2662
668	5363	2653
669	5370	2645
670	5377	2636
671	5385	2628
672	5393	2620
673	5401	2612
674	5409	2604
675	5415	2595
676	5425	2588
677	5431	2579
678	5440	2572
679	5449	2564
680	5458	2556
681	5464	2548
682	5473	2540
683	5480	2531
684	5489	2524
685	5496	2515
686	5505	2508
687	5513	2500
688	5521	2492
689	5528	2483
690	5537	2476
691	5544	2467
692	5553	2460
693	5560	2451
694	5571	2444
695	5579	2437
696	5589	2429
697	5596	2421
698	5604	2413
699	5611	2405
700	5621	2397
701	5628	2389
702	5636	2381
703	5644	2373
704	5651	2364
705	5658	2356
706	5668	2349
707	5676	2341
708	5687	2334
709	5695	2326
710	5704	2318
711	5710	2310
712	5719	2302
713	5726	2293
714	5734	2285
715	5741	2277
716	5750	2269
717	5756	2260
718	5763	2252
719	5771	2244
720	5778	2235
721	5787	2228
722	5794	2219
723	5801	2211
724	5807	2202
725	5817	2195
726	5824	2187
727	5833	2179
728	5840	2171
729	5847	2162
730	5854	2154
731	5864	2147
732	5871	2138
733	5881	2131
734	5888	2123
735	5897	2115
736	5905	2107
737	5912	2099
738	5922	2091
739	5930	2083
740	5938	2075
741	5946	2067
742	5953	2059
743	5960	2051
744	5968	2042
745	5974	2034
746	5983	2026
747	5990	2018
748	5997	2009
749	6003	2001
750	6013	1993
751	6020	1985
752	6029	1977
753	6036	1969
754	6043	1961
755	6050	1952
756	6058	1944
757	6067	1937
758	6074	1928
759	6082	1920
760	6089	1912
761	6097	1904
762	6103	1895
763	6113	1888
764	6119	1879
765	6128	1872
766	6135	1863
767	6143	1855
768	6150	1847
769	6159	1839
770	6166	1831
771	6174	1823
772	6180	1815
773	6186	1806
774	6196	1798
775	6203	1790
776	6210	1782
777	6217	1774
778	6226	1766
779	6233	1758
780	6242	1750
781	6248	1741
782	6255	1733
783	6263	1725
784	6272	1717
785	6278	1709
786	6285	1701
787	6293	1693
788	6302	1685
789	6310	1677
790	6319	1669
791	6328	1662
792	6337	1654
793	6344	1645
794	6350	1637
795	6359	1629
796	6365	1621
797	6374	1613
798	6381	1605
799	6389	1597
800	6395	1588
801	6404	1581
802	6412	1573
803	6420	1565
804	6429	1557
805	6438	1549
806	6447	1541
807	6456	1534
808	6462	1525
809	6470	1517
810	6477	1509
811	6486	1501
812	6492	1493
813	6499	1485
814	6507	1477
815	6514	1468
816	6523	1461
817	6531	1453
