iter	MultiClass
0	1.755937104
1	1.60915836
2	1.491619989
3	1.386478655
4	1.312929817
5	1.233986874
6	1.171418886
7	1.123930133
8	1.066076049
9	1.018484384
10	0.9715773116
11	0.9345541986
12	0.904089368
13	0.8596879933
14	0.8278350429
15	0.8016520991
16	0.7694849811
17	0.7451636222
18	0.7215287864
19	0.6976993853
20	0.6781856049
21	0.6595645052
22	0.6385192976
23	0.6192928973
24	0.60709048
25	0.5974224655
26	0.5824472884
27	0.5712612137
28	0.5583757165
29	0.5446570531
30	0.5331881674
31	0.5192069274
32	0.5072493055
33	0.4972385959
34	0.4881504653
35	0.4773283372
36	0.4673740777
37	0.4616448449
38	0.4534025622
39	0.4401291174
40	0.4321070084
41	0.4236231953
42	0.4159243992
43	0.4106865081
44	0.4035609541
45	0.396294425
46	0.3902178992
47	0.381734301
48	0.3770307039
49	0.3702693008
50	0.3666699742
51	0.3620944922
52	0.3582236957
53	0.354177858
54	0.3500328773
55	0.3466195297
56	0.342094853
57	0.3344388387
58	0.3318345576
59	0.32718571
60	0.3224835455
61	0.3186588761
62	0.3142363789
63	0.3103734447
64	0.3077874769
65	0.2995839339
66	0.2948860006
67	0.2885242583
68	0.2850337606
69	0.282818754
70	0.2777162664
71	0.2751873389
72	0.2723722468
73	0.2701949341
74	0.2682280748
75	0.2650916736
76	0.2624979192
77	0.2578308291
78	0.2541745926
79	0.2514185277
80	0.2493346499
81	0.2448943233
82	0.2436869939
83	0.2410159572
84	0.2390994903
85	0.2353159384
86	0.2342178784
87	0.2309079662
88	0.2278766769
89	0.2254591449
90	0.2223217311
91	0.2169401547
92	0.2145084964
93	0.2112556066
94	0.2090914633
95	0.2073800121
96	0.2050278153
97	0.2029989297
98	0.2014633529
99	0.1995487354
100	0.1985663335
101	0.1969061061
102	0.1950994734
103	0.1938265594
104	0.1927626688
105	0.1898140313
106	0.1881468274
107	0.1852019643
108	0.1838364004
109	0.1823431951
110	0.180672286
111	0.178976449
112	0.1781301072
113	0.1769874219
114	0.1750695343
115	0.1742826183
116	0.1711943101
117	0.1703775726
118	0.1685903813
119	0.1673111165
120	0.1659988689
121	0.1648994736
122	0.163627534
123	0.1623980299
124	0.1606322852
125	0.1594888891
126	0.1590268366
127	0.1574043069
128	0.1562629707
129	0.1551341619
130	0.1522232849
131	0.1513279953
132	0.1492876676
133	0.1478165511
134	0.1465250706
135	0.1450525016
136	0.14358191
137	0.1417181073
138	0.1407809276
139	0.1385433888
140	0.1377738293
141	0.1371160673
142	0.1359884757
143	0.1352952343
144	0.134572092
145	0.133680888
146	0.1327414028
147	0.1307232505
148	0.129958817
149	0.1287089101
150	0.1284117219
151	0.1275848506
152	0.1260036929
153	0.1251388472
154	0.1240656553
155	0.1235889908
156	0.1225474618
157	0.1207151154
158	0.1195252539
159	0.1185746596
160	0.1175714353
161	0.1170761516
162	0.1166520396
163	0.1161383641
164	0.1154821042
165	0.1144082676
166	0.1137992871
167	0.1124218914
168	0.1118356851
169	0.1107112156
170	0.1101214065
171	0.1095900313
172	0.1089812715
173	0.1082702245
174	0.1073977247
175	0.1064593321
176	0.1060673757
177	0.1053715908
178	0.1044423314
179	0.1038119325
180	0.1033619793
181	0.1030415916
182	0.1026639749
183	0.1018726949
184	0.1013948585
185	0.1009192432
186	0.1001846595
187	0.09971343397
188	0.09900082991
189	0.09854564289
190	0.09816212749
191	0.09731047072
192	0.09657368683
193	0.09617720119
194	0.09548226009
195	0.09501794845
196	0.09437246091
197	0.09404289388
198	0.09334302745
199	0.09283925042
200	0.09259660644
201	0.09173661976
202	0.09145895105
203	0.09089554999
204	0.09000341
205	0.08958768183
206	0.08913409871
207	0.08841501201
208	0.08774848367
209	0.08699959886
210	0.08664397235
211	0.08636548712
212	0.08618222329
213	0.08552738392
214	0.08514387711
215	0.08469468213
216	0.08390496033
217	0.08361121097
218	0.0833430154
219	0.08302101134
220	0.08265861134
221	0.08220315661
222	0.08167648091
223	0.08095614263
224	0.08047594864
225	0.08013889958
226	0.07988917269
227	0.07969858054
228	0.07957298096
229	0.07930607815
230	0.07915077291
231	0.07880952963
232	0.07850514339
233	0.07817297298
234	0.07795301696
235	0.07756916167
236	0.07726135727
237	0.07673965106
238	0.07618133626
239	0.07591835712
240	0.07551168272
241	0.07518658175
242	0.07492217815
243	0.07465181172
244	0.07450420244
245	0.0742748865
246	0.07405769059
247	0.07372129677
248	0.07356957015
249	0.07319707342
250	0.07290894236
251	0.0726643201
252	0.07248754383
253	0.07232659262
254	0.07215627994
255	0.07155215229
256	0.07136328585
257	0.07113106418
258	0.07073669977
259	0.07041549236
260	0.07010035915
261	0.0696435746
262	0.06948167406
263	0.06926126013
264	0.06907959211
265	0.0685699466
266	0.06828246981
267	0.06790898637
268	0.06763367294
269	0.06688928668
270	0.06652546047
271	0.06635580818
272	0.06611077914
273	0.06590449485
274	0.06564207351
275	0.06544630559
276	0.06507492843
277	0.06480099582
278	0.06453899929
279	0.06437175467
280	0.06410842158
281	0.06388513708
282	0.06361319491
283	0.06336789706
284	0.06325345014
285	0.06307734514
286	0.06282868352
287	0.06260846563
288	0.06235002874
289	0.06215785812
290	0.06199698566
291	0.06183028294
292	0.06164407177
293	0.06097523906
294	0.0607395188
295	0.06049397854
296	0.06026690054
297	0.0599016542
298	0.05940100606
299	0.05917477715
300	0.05893164216
301	0.05872350396
302	0.05858947213
303	0.05848845111
304	0.05817001595
305	0.05775766495
306	0.05757011709
307	0.05738838338
308	0.05715748253
309	0.0567387875
310	0.05667753326
311	0.05647130249
312	0.05630428499
313	0.05618456402
314	0.05600500122
315	0.05586677516
316	0.05566695228
317	0.05532853611
318	0.05512284606
319	0.05488880527
320	0.05472293285
321	0.0545515555
322	0.05433948531
323	0.05408743547
324	0.05392551672
325	0.0537392076
326	0.05337655625
327	0.05323740693
328	0.05304514863
329	0.05278865993
330	0.05241841732
331	0.05225853296
332	0.05214696565
333	0.05199749805
334	0.05183523622
335	0.05165653975
336	0.05152040706
337	0.05139996682
338	0.0513036802
339	0.05116513478
340	0.05102706555
341	0.05064535844
342	0.05049877901
343	0.05039606628
344	0.05017843018
345	0.04996726902
346	0.04990730158
347	0.04966328109
348	0.04947592229
349	0.04937977609
350	0.04924284614
351	0.04908539655
352	0.04902184383
353	0.048910644
354	0.04870865009
355	0.04847724572
356	0.04813297972
357	0.04801686501
358	0.04790009293
359	0.0477914209
360	0.04765373117
361	0.04753705824
362	0.04740230074
363	0.04714539528
364	0.04695459588
365	0.04680926424
366	0.04664233703
367	0.04649174145
368	0.04642916053
369	0.04633954526
370	0.0462382289
371	0.04613637936
372	0.04594889589
373	0.04586195221
374	0.04571501055
375	0.04557582885
376	0.04542943951
377	0.04523886004
378	0.0451118159
379	0.04499118253
380	0.04489835397
381	0.04478889494
382	0.0447168034
383	0.04447281187
384	0.04435288316
385	0.04417737781
386	0.04408491391
387	0.04400257836
388	0.04379427145
389	0.04370458535
390	0.0435881796
391	0.04341460068
392	0.0431233967
393	0.0430814446
394	0.04299512895
395	0.04289337094
396	0.04276320599
397	0.04264128046
398	0.04228021662
399	0.04220119137
400	0.04213086209
401	0.04188076069
402	0.04177374601
403	0.04166332632
404	0.04162383766
405	0.04154827359
406	0.04139555501
407	0.04130298781
408	0.04118600596
409	0.04112633887
410	0.04105612381
411	0.04087641156
412	0.04080191456
413	0.04072192607
414	0.0405003724
415	0.04037547326
416	0.04022858937
417	0.04011815369
418	0.03999250921
419	0.03989879789
420	0.03970281293
421	0.03963778188
422	0.03957147458
423	0.03953098234
424	0.03946645863
425	0.03935264547
426	0.03929391038
427	0.03922774973
428	0.03913080372
429	0.03899941002
430	0.03892924222
431	0.03880647288
432	0.03871544133
433	0.03846790563
434	0.03834295231
435	0.03831457331
436	0.03821403082
437	0.03815382665
438	0.03806040062
439	0.03799804102
440	0.03792633602
441	0.03787568994
442	0.03775849341
443	0.03746905004
444	0.03741154622
445	0.03733293678
446	0.03721046516
447	0.03713356791
448	0.03700378609
449	0.03692431545
450	0.03675328026
451	0.0366380994
452	0.0365251792
453	0.03642704264
454	0.03637723352
455	0.03627755196
456	0.03622247389
457	0.03616308891
458	0.03608765344
459	0.03598353715
460	0.03588651399
461	0.03578940238
462	0.03556795263
463	0.03550364368
464	0.03545293023
465	0.03526497209
466	0.03515923975
467	0.03500465028
468	0.03491399455
469	0.03483647764
470	0.03475756696
471	0.03470992253
472	0.03454876671
473	0.03450950768
474	0.03441325179
475	0.03428769821
476	0.0342346018
477	0.03415866497
478	0.03410508613
479	0.03399238409
480	0.03395001119
481	0.03391641904
482	0.03377888339
483	0.03368246567
484	0.03356972395
485	0.03351989935
486	0.0333957845
487	0.0333408033
488	0.03327739324
489	0.03324622096
490	0.03316541369
491	0.03309236937
492	0.0329367397
493	0.03287319152
494	0.0327994492
495	0.03260251312
496	0.03256705549
497	0.03250196492
498	0.03240146012
499	0.03223498892
500	0.03215200195
501	0.0320859497
502	0.03202464341
503	0.0319500046
504	0.03187781855
505	0.03177061673
506	0.03168766201
507	0.03164931088
508	0.03159162449
509	0.03150034698
510	0.03132940143
511	0.03127645303
512	0.03119599847
513	0.03112939524
514	0.03103060175
515	0.03090353198
516	0.03084668325
517	0.03077544218
518	0.03067908164
519	0.03058714346
520	0.03044938918
521	0.03034648118
522	0.03029183744
523	0.03020252229
524	0.03012430544
525	0.03003946072
526	0.02997853185
527	0.02991413567
528	0.02986828858
529	0.02969531139
530	0.02963940983
531	0.0295791592
532	0.02948332806
533	0.02933827407
534	0.02917378219
535	0.02910871991
536	0.02908023519
537	0.02900747396
538	0.02889458283
539	0.02883489203
540	0.0287967706
541	0.02873716249
542	0.02866601508
543	0.02863088885
544	0.0285492527
545	0.02848356856
546	0.02842896632
547	0.02837067877
548	0.0283425687
549	0.02826979188
550	0.02823116519
551	0.02815736435
552	0.02809797733
553	0.02802146627
554	0.02797682739
555	0.02790994415
556	0.0278539281
557	0.02779788427
558	0.0277600608
559	0.02772255416
560	0.02769197842
561	0.02760589788
562	0.02756859433
563	0.02752412471
564	0.0274736587
565	0.02737847146
566	0.02726101324
